Age,Annual_Income,Transaction_Amounts,Customer_Satisfaction_Score,Number_of_Visits,Net_Promoter_Score,Loyalty_Program_Engagement,Lifetime_Spend,Items_Purchased_Per_Visit,Online_Shopper
54.97,60.39,1.13,67.81,4,1.6577,0.5277,635.65,23,1.0
48.62,78.9,14.79,71.6,4,2.1282,0.6026,458.21,34,1.0
56.48,88.26,15.7,66.23,4,-0.3445,0.3168,558.66,28,1.0
65.23,102.99,4.15,23.31,3,0.174,0.2424,414.98,33,1.0
47.66,120.48,1.04,62.83,5,2.3226,0.1608,622.31,4,1.0
47.66,113.88,4.38,37.98,1,-0.6615,0.0616,405.79,19,0.0
65.79,76.41,13.19,1.03,1,-0.9213,0.3606,566.18,36,0.0
57.67,92.57,2.37,96.75,4,-1.6211,0.361,610.39,9,1.0
45.31,101.53,0.74,71.78,4,-0.8614,0.3301,619.94,16,1.0
55.43,94.76,5.92,23.86,4,-0.7694,0.3031,499.05,20,0.0
45.37,94.61,5.34,30.94,4,-0.0891,0.2777,531.57,47,0.0
45.34,65.55,0.01,89.81,4,-1.8595,0.2219,577.78,29,0.0
52.42,76.95,9.61,25.5,3,0.4732,0.3366,622.25,4,0.0
30.87,91.94,5.41,9.23,6,0.03,0.3062,610.48,27,1.0
32.75,38.14,1.09,84.11,2,-0.0769,0.1601,546.62,13,1.0
44.38,112.81,0.02,69.76,0,0.9725,0.1205,658.27,28,
39.87,72.55,17.93,54.27,2,-1.1434,0.4454,483.09,10,1.0
53.14,113.74,7.03,55.43,1,-0.949,0.1605,518.02,6,1.0
40.92,111.98,2.27,68.78,1,0.2112,0.4718,543.08,6,0.0
35.88,89.13,2.84,91.08,3,-0.5175,0.1718,567.4,3,0.0
64.66,120.01,3.87,82.25,7,1.9065,0.284,434.81,23,0.0
47.74,114.86,6.34,23.33,1,2.0937,0.2996,377.55,28,0.0
50.68,93.82,0.95,64.37,8,1.5703,0.3155,537.66,17,0.0
35.75,91.56,1.09,67.13,0,0.0988,0.3644,604.66,45,1.0
44.56,121.94,0.25,82.17,3,2.3533,0.0341,532.38,23,0.0
51.11,104.64,21.27,91.1,4,-0.5122,0.3483,559.39,13,0.0
38.49,120.89,10.42,5.86,5,-1.9322,0.0856,430.8,0,
53.76,52.22,4.03,9.45,2,-1.5758,0.1164,420.08,28,1.0
43.99,101.97,2.81,9.52,6,-1.1537,0.128,408.37,9,1.0
47.08,68.45,1.36,69.21,2,0.7532,0.5553,593.67,17,0.0
43.98,99.48,4.52,92.82,7,2.0018,0.2367,461.71,16,0.0
68.52,114.28,5.86,58.21,1,0.5639,0.4198,548.63,15,
49.87,134.78,5.84,56.79,5,-0.5425,0.3549,492.05,10,0.0
39.42,81.24,0.03,83.98,6,-0.3512,0.2874,419.95,1,0.0
58.23,89.49,6.05,99.23,4,-0.9881,0.1297,626.24,22,1.0
37.79,98.09,10.06,94.19,3,0.0444,0.1419,374.4,12,1.0
52.09,80.51,0.61,60.68,3,1.3079,0.1214,533.59,23,1.0
30.4,119.57,7.04,99.75,4,-0.3642,0.4892,325.17,23,1.0
36.72,98.6,8.66,72.32,1,-0.5742,0.5035,467.66,37,1.0
51.97,102.44,1.62,70.06,2,-0.5167,0.5809,333.69,2,1.0
57.38,112.4,6.23,9.77,3,1.526,0.2152,495.46,28,0.0
51.71,98.57,0.51,29.71,5,0.6777,0.5093,619.75,47,0.0
48.84,83.65,5.24,58.33,1,2.3252,0.3542,325.7,8,0.0
46.99,98.74,3.57,69.77,4,0.021,0.5812,495.17,48,0.0
35.21,82.88,9.48,20.16,1,0.5355,0.5616,488.12,0,
42.8,102.16,3.01,80.9,2,1.107,0.1113,502.66,21,0.0
45.39,119.94,2.79,87.57,2,-0.6184,0.2384,460.28,12,0.0
60.57,76.5,13.57,85.17,3,0.0821,0.1389,544.87,26,1.0
53.44,69.35,13.61,53.74,2,1.1485,0.2629,579.41,15,
32.37,100.98,0.18,33.98,2,1.2219,0.3229,421.27,32,1.0
53.24,84.64,3.32,84.19,5,1.3207,0.3921,660.28,27,0.0
46.15,100.63,0.88,74.21,4,0.2337,0.0484,419.97,23,
43.23,106.41,1.6,3.78,2,0.9754,0.4138,458.12,27,0.0
56.12,57.13,5.49,50.12,1,-0.1056,0.4705,473.59,33,0.0
60.31,113.8,0.69,82.31,1,-1.3817,0.2631,578.67,37,
59.31,76.61,0.06,56.92,4,-0.4435,0.1416,618.99,26,1.0
41.61,99.55,6.49,26.81,5,-0.5049,0.4008,319.44,25,1.0
46.91,86.81,5.13,1.65,2,-0.4473,0.1376,387.65,4,0.0
